total_gap,explained,unexplained,interaction
16.28751351649911,-0.18235346388428297,16.43479269812815,0.03507427559270582
16.37243134619328,-0.029751840733297286,16.350407283520326,0.05177590284984035
15.935245432192481,-0.5388583116837253,16.50229399895761,-0.028190250717671006
16.480938705804235,-0.10557986200365121,16.55362635012716,0.03289222825151228
16.023393987831554,-0.5319502880047366,16.481999141862616,0.07334514238755219
16.375440766688072,-0.2591506286935328,16.588813241338357,0.04577815332777391
16.090057750713676,-0.5135657508617442,16.505863479571417,0.09776002246326243
16.021003184648436,-0.4534541890316177,16.437107952078804,0.03734942988194234
16.54906894165211,0.041811945991867105,16.41367165837437,0.09358533568592975
16.146428178226145,-0.21773140922232415,16.342662031180225,0.02149756427434113
16.288984030050088,-0.38850258159618534,16.608120060060173,0.06936655759000132
16.477871456749604,-0.18549232916848268,16.587574950652197,0.07578883705991757
16.249088959230498,-0.20639820043470536,16.474475124385208,-0.018987973006005632
16.49246697748282,-0.17333206282637548,16.560259740101174,0.1055393193191776
16.882433277518885,0.2923658766289918,16.491370860370807,0.09869654214844559
16.45707827132641,-0.41753697431340697,16.77473921258934,0.09987604184425436
15.831588368897272,-0.7622433856358839,16.537224528961815,0.05660721635013033
15.834782321809278,-0.6678490180729568,16.411011927761137,0.09161941210913938
16.240189699917963,-0.3208496821462177,16.47098990099039,0.09004948738493113
16.27504330654807,-0.2695219633924353,16.468994346330874,0.075570940329726
16.022561256570135,-0.19749844959915208,16.182276415405795,0.037783289761136984
16.27539969358277,-0.4025648603819718,16.625049896887504,0.05291466806011158
16.49626079049417,-0.2606288314109406,16.710885936859995,0.046003684393326694
16.307562048005856,-0.11677399887230422,16.35013357945718,0.07420245542380144
16.32170902670456,-0.5107893060167044,16.764914910076186,0.06758343208321094
15.918794319011255,-0.4130408534892922,16.34097743406892,-0.00914226430177223
15.926123644133419,-0.3619308070938132,16.361085376585834,-0.07303091439280252
16.0115174473584,-0.4556978191540111,16.384854045172688,0.08236121079062286
15.91913376524348,-0.3703551627404522,16.187304393039085,0.10218452569461078
16.64931345266529,-0.2160996685961436,16.85790281346999,0.007510296120017301
15.941908690928223,-0.3941290688717345,16.37869832967408,-0.04266058647772297
16.28538965143094,-0.3013390354135481,16.418357757502235,0.16837093437789008
