Model,RMSE,MAE,R2
Random Forest,7.966940994795019,6.159039999999999,0.7310919264521801
XGBoost,8.819418043957553,6.930729912584478,0.6704657968646639
MLP (Neural Net),9.733017640272873,7.721064364440116,0.5986570291900224
Ridge Regression,12.667096291167965,10.053694974455889,0.3202099807591611
