Feature,Mean_SHAP
Revenue,7.2192483
CarbonEmissions,6.5028987
Market_Type,5.470034
WaterUsage,3.2853374
Region,2.9654517
EnergyConsumption,1.9991393
Industry,1.8027653
Year,1.5291402
ProfitMargin,0.8686536
MarketCap,0.7192224
GrowthRate,0.52548754
