Feature,Mean_SHAP
Market_Type,8.097897
Revenue,6.495595
CarbonEmissions,5.727613
Region,2.8666847
WaterUsage,2.694269
Industry,1.5849414
EnergyConsumption,1.5788089
Year,1.3419825
ProfitMargin,0.7567323
MarketCap,0.6620764
GrowthRate,0.48234475
